dac_inputs (V),adc_outputs
0.551717,55
0.552322,55
0.552928,55
0.553534,55
0.554139,55
0.554745,55
0.555350,56
0.555956,55
0.556562,56
0.557167,56
0.557773,55
0.558379,56
0.558984,56
0.559590,56
0.560195,56
0.560801,56
0.561407,56
0.562012,56
0.562618,56
0.563223,56
0.563829,56
0.564435,56
0.565040,56
0.565646,56
0.566252,56
0.566857,56
0.567463,57
0.568068,57
0.568674,56
0.569280,56
0.569885,57
0.570491,57
0.571096,57
0.571702,57
0.572308,57
0.572913,57
0.573519,57
0.574125,57
0.574730,58
0.575336,57
0.575941,58
0.576547,57
0.577153,58
0.577758,58
0.578364,58
0.578969,58
0.579575,58
0.580181,58
0.580786,58
0.581392,58
0.581998,58
0.582603,58
0.583209,58
0.583814,59
0.584420,59
0.585026,59
0.585631,59
0.586237,59
0.586842,59
0.587448,59
0.588054,59
0.588659,58
0.589265,59
0.589871,60
0.590476,60
0.591082,59
0.591687,60
0.592293,60
0.592899,60
0.593504,59
0.594110,60
0.594716,60
0.595321,60
0.595927,59
0.596532,60
0.597138,60
0.597744,60
0.598349,60
0.598955,61
0.599560,61
0.600166,60
0.600772,61
0.601377,61
0.601983,60
0.602589,61
0.603194,61
0.603800,61
0.604405,61
0.605011,60
0.605617,61
0.606222,61
0.606828,61
0.607433,61
0.608039,61
0.608645,62
0.609250,61
0.609856,62
0.610462,62
0.611067,62
0.611673,62
0.612278,61
0.612884,61
0.613490,62
0.614095,62
0.614701,62
0.615306,62
0.615912,61
0.616518,62
0.617123,62
0.617729,63
0.618335,63
0.618940,62
0.619546,63
0.620151,63
0.620757,62
0.621363,63
0.621968,62
0.622574,62
0.623179,62
0.623785,63
0.624391,63
0.624996,62
0.625602,63
0.626208,62
0.626813,63
0.627419,62
0.628024,62
0.628630,62
0.629236,63
0.629841,63
0.630447,64
0.631053,64
0.631658,64
0.632264,65
0.632869,64
0.633475,64
0.634081,64
0.634686,64
0.635292,64
0.635897,65
0.636503,65
0.637109,66
0.637714,66
0.638320,66
0.638926,65
0.639531,66
0.640137,66
0.640742,66
0.641348,65
0.641954,65
0.642559,66
0.643165,66
0.643770,66
0.644376,65
0.644982,66
0.645587,65
0.646193,65
0.646799,65
0.647404,66
0.648010,66
0.648615,66
0.649221,66
0.649827,67
0.650432,66
0.651038,66
0.651643,67
0.652249,66
0.652855,67
0.653460,66
0.654066,67
0.654672,67
0.655277,67
0.655883,67
0.656488,67
0.657094,67
0.657700,67
0.658305,67
0.658911,67
0.659516,67
0.660122,67
0.660728,67
0.661333,67
0.661939,67
0.662545,68
0.663150,68
0.663756,67
0.664361,68
0.664967,67
0.665573,68
0.666178,68
0.666784,68
0.667389,68
0.667995,68
0.668601,68
0.669206,68
0.669812,68
0.670418,69
0.671023,69
0.671629,69
0.672234,69
0.672840,69
0.673446,69
0.674051,69
0.674657,69
0.675263,69
0.675868,69
0.676474,69
0.677079,70
0.677685,70
0.678291,70
0.678896,69
0.679502,69
0.680107,69
0.680713,69
0.681319,70
0.681924,69
0.682530,70
0.683136,69
0.683741,70
0.684347,70
0.684952,70
0.685558,69
0.686164,70
0.686769,70
0.687375,71
0.687980,70
0.688586,70
0.689192,70
0.689797,70
0.690403,70
0.691009,70
0.691614,71
0.692220,71
0.692825,71
0.693431,71
0.694037,71
0.694642,71
0.695248,71
0.695853,71
0.696459,71
0.697065,71
0.697670,71
0.698276,72
0.698882,71
0.699487,71
0.700093,72
0.700698,72
0.701304,71
0.701910,72
0.702515,72
0.703121,72
0.703726,72
0.704332,72
0.704938,72
0.705543,73
0.706149,72
0.706755,72
0.707360,72
0.707966,73
0.708571,72
0.709177,72
0.709783,72
0.710388,72
0.710994,73
0.711600,73
0.712205,73
0.712811,73
0.713416,73
0.714022,74
0.714628,74
0.715233,74
